andyface_resize_frame00452.jpg:fear,nortonface_norton_frame03743.jpg:fear,face_bogs_frame12702.jpg:happy,face_red_frame01877.jpg:anger,,,,,,
andyface_resize_frame00453.jpg:anger,nortonface_norton_frame03744.jpg:fear,face_bogs_frame12751.jpg:anger,face_red_frame01878.jpg:fear,,,,,,
andyface_resize_frame00454.jpg:disgust,nortonface_norton_frame03745.jpg:anger,face_bogs_frame12752.jpg:fear,face_red_frame01879.jpg:fear,,,,,,
andyface_resize_frame00455.jpg:anger,nortonface_norton_frame03746.jpg:disgust,face_bogs_frame13037.jpg:disgust,face_red_frame01880.jpg:anger,,,,,,
andyface_resize_frame00456.jpg:anger,nortonface_norton_frame03747.jpg:disgust,face_bogs_frame13040.jpg:disgust,face_red_frame01881.jpg:anger,,,,,,
andyface_resize_frame00457.jpg:anger,nortonface_norton_frame03748.jpg:disgust,face_bogs_frame13041.jpg:fear,face_red_frame01882.jpg:anger,,,,,,
andyface_resize_frame00458.jpg:disgust,nortonface_norton_frame03750.jpg:anger,face_bogs_frame13042.jpg:fear,face_red_frame01883.jpg:fear,,,,,,
andyface_resize_frame00459.jpg:disgust,nortonface_norton_frame03848.jpg:anger,face_bogs_frame13055.jpg:surprise,face_red_frame01884.jpg:anger,,,,,,
andyface_resize_frame00460.jpg:disgust,nortonface_norton_frame03849.jpg:happy,face_bogs_frame13056.jpg:surprise,face_red_frame01885.jpg:anger,,,,,,
andyface_resize_frame00461.jpg:anger,nortonface_norton_frame03850.jpg:fear,face_bogs_frame13057.jpg:disgust,face_red_frame01886.jpg:fear,,,,,,
andyface_resize_frame00462.jpg:disgust,nortonface_norton_frame03851.jpg:happy,face_bogs_frame13058.jpg:fear,face_red_frame01887.jpg:anger,,,,,,
andyface_resize_frame00463.jpg:anger,nortonface_norton_frame03852.jpg:fear,face_bogs_frame13059.jpg:anger,face_red_frame01888.jpg:fear,,,,,,
andyface_resize_frame00464.jpg:anger,nortonface_norton_frame03853.jpg:fear,face_bogs_frame13060.jpg:surprise,face_red_frame01889.jpg:anger,,,,,,
andyface_resize_frame00465.jpg:anger,nortonface_norton_frame03855.jpg:fear,face_bogs_frame13061.jpg:surprise,face_red_frame01890.jpg:anger,,,,,,
andyface_resize_frame00466.jpg:anger,nortonface_norton_frame03856.jpg:happy,face_bogs_frame13062.jpg:disgust,face_red_frame01891.jpg:anger,,,,,,
andyface_resize_frame00467.jpg:fear,nortonface_norton_frame03857.jpg:fear,face_bogs_frame13063.jpg:disgust,face_red_frame01892.jpg:anger,,,,,,
andyface_resize_frame00468.jpg:disgust,nortonface_norton_frame03858.jpg:fear,face_bogs_frame13064.jpg:disgust,face_red_frame01893.jpg:anger,,,,,,
andyface_resize_frame00469.jpg:disgust,nortonface_norton_frame03859.jpg:happy,face_bogs_frame13065.jpg:surprise,face_red_frame01894.jpg:anger,,,,,,
andyface_resize_frame00470.jpg:disgust,nortonface_norton_frame03860.jpg:fear,face_bogs_frame13070.jpg:disgust,face_red_frame01895.jpg:anger,,,,,,
andyface_resize_frame00471.jpg:anger,nortonface_norton_frame03861.jpg:happy,face_bogs_frame13071.jpg:surprise,face_red_frame01896.jpg:anger,,,,,,
andyface_resize_frame00472.jpg:disgust,nortonface_norton_frame03862.jpg:fear,face_bogs_frame13072.jpg:disgust,face_red_frame01897.jpg:anger,,,,,,
andyface_resize_frame00473.jpg:disgust,nortonface_norton_frame03863.jpg:fear,face_bogs_frame13073.jpg:disgust,face_red_frame01898.jpg:anger,,,,,,
andyface_resize_frame00474.jpg:disgust,nortonface_norton_frame03864.jpg:fear,face_bogs_frame13074.jpg:surprise,face_red_frame01899.jpg:anger,,,,,,
andyface_resize_frame00475.jpg:disgust,nortonface_norton_frame03865.jpg:fear,face_bogs_frame13075.jpg:disgust,face_red_frame01900.jpg:anger,,,,,,
andyface_resize_frame00476.jpg:anger,nortonface_norton_frame03866.jpg:fear,face_bogs_frame13076.jpg:surprise,face_red_frame01902.jpg:fear,,,,,,
andyface_resize_frame00477.jpg:disgust,nortonface_norton_frame03867.jpg:fear,face_bogs_frame13077.jpg:surprise,face_red_frame01904.jpg:disgust,,,,,,
