frame_all		Andy_frames_unique	Andy_size	Tommy_frame	Tommy_size	Red_frames	Red_size	Norton_frames	Norton_size	Bogs_frames	Bogs_size	Skeet_frames	Skeet_size	"start scene: 0, andy mean size: 223.0"	223	"start scene: 0, tommy mean size: 0"	0	"start scene: 0, red mean size: 0"	0
frame00039.jpg		andy_frame00325.jpg	223	tommy_frame25137.jpg	223	red_frame01767.jpg	129	norton_frame03652.jpg	223	bogs_frame06883.jpg	321	skeet_frame03376.jpg	185	"start scene: 11314, andy mean size: 232.64893617021278"	232.6489362	"start scene: 11314, tommy mean size: 0"	0	"start scene: 11314, red mean size: 315.96875"	315.96875
frame00040.jpg		andy_frame00326.jpg	223	tommy_frame25139.jpg	223	red_frame01768.jpg	129	norton_frame03653.jpg	223	bogs_frame06884.jpg	321	skeet_frame03377.jpg	185	"start scene: 11719, andy mean size: 0"	0	"start scene: 11719, tommy mean size: 0"	0	"start scene: 11719, red mean size: 0"	0
frame00041.jpg		andy_frame00327.jpg	223	tommy_frame25145.jpg	223	red_frame01769.jpg	129	norton_frame03654.jpg	267	bogs_frame06885.jpg	321	skeet_frame03379.jpg	186	"start scene: 11991, andy mean size: 254.7759336099585"	254.7759336	"start scene: 11991, tommy mean size: 0"	0	"start scene: 11991, red mean size: 198.33333333333334"	198.3333333
frame00042.jpg		andy_frame00328.jpg	223	tommy_frame25146.jpg	186	red_frame01770.jpg	129	norton_frame03655.jpg	223	bogs_frame06886.jpg	268	skeet_frame03380.jpg	155	"start scene: 12463, andy mean size: 321.0"	321	"start scene: 12463, tommy mean size: 0"	0	"start scene: 12463, red mean size: 0"	0
frame00043.jpg		andy_frame00329.jpg	223	tommy_frame25147.jpg	186	red_frame01771.jpg	129	norton_frame03656.jpg	267	bogs_frame06887.jpg	321	skeet_frame03381.jpg	155	"start scene: 12494, andy mean size: 304.94805194805195"	304.9480519	"start scene: 12494, tommy mean size: 0"	0	"start scene: 12494, red mean size: 0"	0
frame00044.jpg		andy_frame00330.jpg	223	tommy_frame25183.jpg	186	red_frame01772.jpg	129	norton_frame03657.jpg	267	bogs_frame06888.jpg	321	skeet_frame03382.jpg	186	"start scene: 13011, andy mean size: 0"	0	"start scene: 13011, tommy mean size: 0"	0	"start scene: 13011, red mean size: 0"	0
frame00045.jpg		andy_frame00331.jpg	223	tommy_frame25188.jpg	186	red_frame01773.jpg	129	norton_frame03658.jpg	267	bogs_frame06889.jpg	321	skeet_frame03383.jpg	186	"start scene: 13093, andy mean size: 0"	0	"start scene: 13093, tommy mean size: 0"	0	"start scene: 13093, red mean size: 0"	0
frame00046.jpg		andy_frame00332.jpg	223	tommy_frame25190.jpg	186	red_frame01774.jpg	129	norton_frame03659.jpg	267	bogs_frame06890.jpg	268	skeet_frame03384.jpg	186	"start scene: 13348, andy mean size: 0"	0	"start scene: 13348, tommy mean size: 0"	0	"start scene: 13348, red mean size: 0"	0
frame00047.jpg		andy_frame00333.jpg	267	tommy_frame25191.jpg	186	red_frame01775.jpg	129	norton_frame03660.jpg	267	bogs_frame06891.jpg	268	skeet_frame03385.jpg	155	"start scene: 13405, andy mean size: 0"	0	"start scene: 13405, tommy mean size: 0"	0	"start scene: 13405, red mean size: 0"	0
frame00048.jpg		andy_frame00334.jpg	321	tommy_frame25193.jpg	186	red_frame01776.jpg	129	norton_frame03661.jpg	267	bogs_frame06915.jpg	185	skeet_frame03386.jpg	155	"start scene: 13531, andy mean size: 321.0"	321	"start scene: 13531, tommy mean size: 0"	0	"start scene: 13531, red mean size: 0"	0
frame00049.jpg		andy_frame00335.jpg	267	tommy_frame25194.jpg	223	red_frame01777.jpg	129	norton_frame03662.jpg	267	bogs_frame06916.jpg	223	skeet_frame03387.jpg	155	"start scene: 13869, andy mean size: 0"	0	"start scene: 13869, tommy mean size: 0"	0	"start scene: 13869, red mean size: 181.42857142857142"	181.4285714
frame00050.jpg		andy_frame00336.jpg	321	tommy_frame25195.jpg	223	red_frame01778.jpg	155	norton_frame03663.jpg	267	bogs_frame06917.jpg	223	skeet_frame03388.jpg	155	"start scene: 13966, andy mean size: 292.25"	292.25	"start scene: 13966, tommy mean size: 0"	0	"start scene: 13966, red mean size: 0"	0
frame00051.jpg		andy_frame00337.jpg	321	tommy_frame25196.jpg	223	red_frame01779.jpg	154	norton_frame03664.jpg	267	bogs_frame06918.jpg	223	skeet_frame03389.jpg	155	"start scene: 14132, andy mean size: 0"	0	"start scene: 14132, tommy mean size: 0"	0	"start scene: 14132, red mean size: 0"	0
