scene_number,start_frame,Andy,Tommy,Red,Norton,Bogs,Skeet
106,27312,272.7405405,0,0,343.7058824,0,0
107,27864,0,205.5625,249.1666667,0,0,0
108,28200,296.9545455,0,0,0,0,0
109,28345,0,0,0,0,0,0
110,28409,0,219.1785714,0,349.8050847,0,0
111,29095,0,0,0,0,0,0
112,29145,0,0,0,0,0,0
113,29200,268,0,0,358.0606061,0,0
114,29851,247.4619342,0,371.4205749,0,0,0
115,31875,0,0,472.5714286,0,0,255.1428571
116,32136,221.9117647,0,0,257.3518519,0,0
117,32460,0,0,0,0,0,0
118,32518,222.9714286,0,0,0,0,0
119,32570,241.3636364,0,179.6153846,0,0,0
120,32894,0,0,0,0,0,0
121,33201,0,0,0,0,0,0
122,33285,0,0,247.5384615,191.1428571,0,0
123,33351,0,0,300.5444444,299.7894737,0,0
124,34015,267,0,0,0,0,0
125,34146,0,0,0,0,0,0
126,34212,221.8372093,0,0,0,0,0
127,34483,263,0,0,0,0,0
128,34541,321,0,0,104,0,0
129,34731,321,0,0,0,0,0
130,34770,301.8709677,0,0,0,0,0
131,34837,318.452381,0,0,0,0,0
132,35020,321,0,0,0,0,0
133,35371,0,0,0,0,0,0
134,35516,321,0,0,0,0,0
135,35837,0,0,0,0,0,0
136,35866,0,0,0,0,0,0
137,35929,299.1333333,0,0,0,0,0
138,36149,0,0,0,0,0,0
139,36215,0,0,0,385,0,0
140,36282,0,0,0,0,0,0
141,36308,0,0,0,374.4347826,0,0
142,36438,321,0,0,0,0,0
143,36516,0,0,0,321,0,0
144,36615,0,0,0,312.4545455,0,0
145,36906,0,0,267.3333333,0,0,0
146,37050,0,0,0,0,0,0
147,37115,0,0,236,0,0,385
148,37414,0,0,228.6031196,0,0,0
149,38189,0,0,143.76,0,0,0
150,38382,0,0,180.7058824,0,0,0
151,38485,0,0,189.6296296,0,0,0
152,39003,0,0,273.76,0,0,0
153,39626,0,0,240.8741007,0,0,0
154,40598,0,0,297.4444444,0,0,0
155,40719,0,0,218.2954545,0,0,0
156,40794,0,0,172.1764706,0,0,0
157,40972,0,0,0,0,0,0
,,138.5141069,12.86352312,79.00311204,34.95533884,10.01185296,9.573024719
