scene_number,scene_start,neutral,happy,sad,surprise,fear,disgust,anger,contempt,emotion_sum
143,36308,0,0,0,0,0,0,0,0,0
144,36438,0,0,0,0,0,0,0,0,0
145,36516,0,0,0,0,0,0,0,0,0
146,36615,0,0,0,0,0,0,0,0,0
147,36906,0,0,0,0,0,0,0,0,0
148,37050,0,0,0,0,0,0,0,0,0
149,37115,0,0,0,0,0,0,0,0,0
150,37414,0,0,0,0,0,0,0,0,0
151,38189,0,0,0,0,0,0,0,0,0
152,38382,0,0,0,0,0,0,0,0,0
153,38485,0,0,0,0,0,0,0,0,0
154,39003,0,0,0,0,0,0,0,0,0
155,39626,0,0,0,0,0,0,0,0,0
156,40598,0,0,0,0,0,0,0,0,0
157,40719,0,0,0,0,0,0,0,0,0
158,40794,0,0,0,0,0,0,0,0,0
159,40972,0,0,0,0,0,0,0,0,0
